0,1,2,3,4,5,6,7,8,9,number_of_captions
g1_1364,石の塊の事を表しています。石が集まると大きな塊になります。,石を集めて固めている,種々の細かな物体が一つの集合体となる様子,小さな石が固まると岩になる,ばらばらだった小石が、ひとまとまりになっている。,石は一か所に固まる,川の上流における石の組成概要が下流になるとどう変わるかを描いている。,,,7
g1_1717,これは地殻変動による地層の変化を示した図式です。上下、前後にスライドしても結局地層は元に戻ることが出来る図式です。,地震が起きた時の活断層の動き,山や断層などの地層、下るときなどの説明,断層には様々なパターンがあります。,大地が上下横に動いている。,地面は、地震によって断層にずれを生じます。,地震が起こる種類,,,7
g1_2016,植物や生き物の食物連鎖が3つの項目で表されている。,生物の進化,左から右に行くにつれて食物連鎖においての強い動物になっている。,生き物が何を食べているのか示す,植物を小さな生物が食べ、その生物を少し大きな生物が食べ、もっと大きな生物がまたそれを食べることで食物連鎖が起こっている。,食物連鎖は様々な生態系で見られる。,食物連鎖はおもしろい,,,7
g1_2031,弱い物は強い物に食べられる。,動物たちの食物連鎖,生態系における捕食の仕組みを表現している。,海の生物と陸の生物の食物連鎖。,これらは食物連鎖です。,弱肉強食具体的にスケッチした,生物の食物連鎖の一例が2つ挙げられている。,,,7
g1_2541,満月が三日月に変化している。,月の満ち欠けの説明,月の形とその名称を示している。,月の満ち欠け,月の満ち欠けの周期,これは月の満ち欠けの流れだ。,月が欠けている,,,7
g1_4348,木の実が半分に割れている,植物の種類について説明している,植物のいろんな種類の種を紹介している。,6種の植物のそれぞれ異なる種の形状,植物の種子が並んでいる。,植物の種子の図解,裸子植物,,,7
g1_4354,りんごの絵が複数ある,リンゴの名称を示している,リンゴの種類,りんごの種類が分かる,りんごの品種を表しています,りんごにはたくさんの種類があり、その一部を紹介。,りんごは様々な種類がある,,,7
g1_4369,マンゴーやメロンを始め、玉葱やニンジンなど多くの果物野菜が美味しそうに育っている。,暖色の実,黄色い実を宿した果物の種類はこれだけある,オレンジ色の野菜や果物の写真が16個ある。,黄色い野菜や果物には沢山の種類がある,柑橘類ではないものはどれっていうクイズを作った,オレンジ色の野菜や果実が整列している,,,7
g1_4528,色々な種類の葉っぱが芽吹いている,植物の葉の付き方,葉っぱの種類を表す,植物の葉の特徴を説明している,葉の付き方がそれぞれ異なる四種類の枝。,葉っぱには様々な大きさや形がある,葉のつき方には、分類があります。,,,7
g1_4684,鳥の雄と雌では顔の大きさや口ばしの形が微妙に違う。,鳥のクチバシ,鴉の成長過程,鳥の成長,鳥が、ヒナから大人に成長する過程の姿を表している。,鳥には色んな顔の形がある,鳥類のくちばしの形は、種類によって様々である。,,,7
g1_493,植物や生き物の食物連鎖の流れが3つのコースで表されている。,魚や昆虫の食物連鎖が書かれてい,何を主食として生きているのか,生き物の食物連鎖についての図解,空、陸、海でおこる食物連鎖の図解。,生命の発展の様子を表している,生物（命）が循環されている,,,7
g1_631,地中から種が発芽したりしなかったりしている,種から植物が育っていくまでの絵を順に並べ替える,水生植物は水中で発芽する。,種子の発芽を４段階で示しています。,苗の成長,同時期に植えられた4つの種の成長記録だ。,種を植えてから芽が出る過程,,,7
g1_90,太陽は地球を照らしている,地球のまわりを公転しているのが月で地球は太陽のまわりを公転しています。,地球の影になって、後ろの惑星から皆既日食が見られる,地球と惑星の大きさの比較している,太陽が地球を照らしている,太陽と地球の大きさの違いと位置関係,太陽の光は地球にどのように当たっているのか,,,7
g2_1031,葉の種類が紹介された,葉の種類の解説です,様々な葉が並べられている。,植物の様々な葉を紹介している,様々な形の葉っぱが横二列に並んでいる。,色々な葉が比較されている,葉っぱが形を変えている,,,7
g2_1141,花は根、茎、葉、花から成り立つ。,植物の部位の名称説明。,植物の根の部分は枝分かれしていて栄養が吸収される。,黄色の花の部分名称,植物の全体図,土に植えた黄色い花が開いている。,主根が土壌に根付いている。,,,7
g2_117,地球の軸が傾いていることと、地球が自転していることを図解している。,地球の自転を示している,地球の自転の様子を説明しています,地球が回転している,地球の自転方向と北極点、南極点から見る自転方向,地球の自転が説明されている,地球の自転がどのような方向、角度で行われているかを示している,,,7
